event,id,pt,eta,phi,momentum,mass
0,	6000113,	26.6828,	-3.90987,	0.602851,	665.902,	15
0,	-6000113,	20.7008,	-1.01255,	-1.96042,	32.2508,	15
1,	6000113,	43.4296,	3.81252,	-1.22323,	983.382,	15
1,	-6000113,	25.2357,	1.47678,	0.455616,	58.1329,	15
2,	6000113,	82.7106,	-1.95809,	1.89801,	298.872,	15
2,	-6000113,	23.6952,	-3.74743,	-1.99166,	502.757,	15
3,	6000113,	128.866,	-2.07213,	-0.623025,	519.822,	15
3,	-6000113,	77.1804,	-0.964287,	-0.334881,	115.932,	15
4,	6000113,	101.655,	-0.818729,	-2.67585,	137.671,	15
4,	-6000113,	41.9549,	-0.624059,	-0.347719,	50.3931,	15
5,	6000113,	51.063,	0.291265,	0.55573,	53.2443,	15
5,	-6000113,	35.5944,	2.13659,	-2.25674,	152.852,	15
6,	6000113,	36.125,	-2.61936,	-1.1116,	249.258,	15
6,	-6000113,	45.4141,	-0.736544,	2.14266,	58.2997,	15
7,	6000113,	85.4468,	2.13556,	-3.10724,	366.564,	15
7,	-6000113,	31.283,	0.237477,	-2.92035,	32.1692,	15
8,	6000113,	139.173,	-1.48381,	1.68471,	322.639,	15
8,	-6000113,	82.7657,	-1.89268,	2.797,	280.897,	15
9,	6000113,	48.1604,	-0.765629,	2.27329,	62.979,	15
9,	-6000113,	76.3553,	-0.869349,	-0.799161,	107.072,	15
10,	6000113,	62.0206,	-0.349321,	0.0998754,	65.8433,	15
10,	-6000113,	39.1497,	1.04773,	-3.04515,	62.6766,	15
11,	6000113,	40.6566,	-0.954226,	0.317009,	60.6143,	15
11,	-6000113,	97.1866,	0.753658,	1.15126,	126.119,	15
12,	6000113,	51.1672,	-2.23125,	-1.56794,	240.97,	15
12,	-6000113,	79.3235,	-1.51282,	2.50046,	188.782,	15
13,	6000113,	72.1476,	0.39547,	1.02106,	77.8633,	15
13,	-6000113,	47.3043,	-0.278909,	-2.41346,	49.1562,	15
14,	6000113,	76.0421,	-2.84986,	-2.97765,	659.409,	15
14,	-6000113,	46.8975,	-2.49113,	0.331963,	285.085,	15
15,	6000113,	94.6173,	-0.611433,	-1.79003,	112.862,	15
15,	-6000113,	76.8251,	-1.51331,	-0.65181,	182.918,	15
16,	6000113,	3.37455,	-5.01879,	-2.57556,	255.175,	15
16,	-6000113,	7.51091,	1.11246,	-1.62389,	12.6581,	15
17,	6000113,	16.6616,	-1.19187,	2.59485,	29.9648,	15
17,	-6000113,	22.4404,	2.41998,	-1.45846,	127.176,	15
18,	6000113,	102.195,	0.189263,	2.67309,	104.03,	15
18,	-6000113,	25.781,	-1.03674,	-0.864528,	40.9223,	15
19,	6000113,	45.0112,	0.104827,	0.832453,	45.2587,	15
19,	-6000113,	41.3998,	1.84275,	-2.02876,	133.975,	15
20,	6000113,	33.9055,	-2.43444,	-1.29981,	194.906,	15
20,	-6000113,	47.0097,	-0.379205,	1.67935,	50.4304,	15
21,	6000113,	50.5311,	0.551549,	0.784058,	58.4138,	15
21,	-6000113,	72.0683,	-0.0405744,	-1.79567,	72.1276,	15
22,	6000113,	200.366,	-1.2082,	2.83756,	365.286,	15
22,	-6000113,	140.703,	-0.855871,	2.18266,	195.461,	15
23,	6000113,	57.1217,	2.0855,	-0.248645,	233.425,	15
23,	-6000113,	65.9987,	1.90619,	2.83779,	226.905,	15
24,	6000113,	49.8205,	2.01389,	0.581867,	189.963,	15
24,	-6000113,	53.6414,	0.832433,	-2.83304,	73.3249,	15
25,	6000113,	3.59459,	4.14811,	-1.1324,	113.823,	15
25,	-6000113,	16.993,	-1.42092,	-1.24935,	37.2354,	15
26,	6000113,	62.6837,	0.0517492,	0.437088,	62.7677,	15
26,	-6000113,	51.7646,	0.936335,	-2.20647,	76.1632,	15
27,	6000113,	86.2726,	-2.34917,	0.0945614,	456.051,	15
27,	-6000113,	41.3308,	-3.01142,	2.72889,	420.861,	15
28,	6000113,	61.8287,	-0.922215,	2.04787,	90.0378,	15
28,	-6000113,	59.5495,	-0.711699,	-1.13612,	75.2784,	15
29,	6000113,	78.5418,	0.538853,	2.19318,	90.2232,	15
29,	-6000113,	71.7606,	-0.617003,	-2.97025,	85.8588,	15
30,	6000113,	63.1848,	0.215295,	0.194815,	64.6549,	15
30,	-6000113,	54.4435,	-0.407259,	3.10586,	59.0212,	15
31,	6000113,	37.175,	1.37448,	1.91491,	78.1792,	15
31,	-6000113,	10.9781,	4.81169,	-1.7072,	674.863,	15
32,	6000113,	27.8664,	-0.388143,	2.69657,	29.992,	15
32,	-6000113,	59.0915,	1.57545,	-1.18766,	148.906,	15
33,	6000113,	15.7411,	-2.64279,	-0.450453,	111.16,	15
33,	-6000113,	106.175,	-0.70765,	2.21704,	133.887,	15
34,	6000113,	116.013,	-0.519282,	-1.53509,	132.009,	15
34,	-6000113,	130.389,	-1.4037,	-1.15824,	281.374,	15
35,	6000113,	87.6695,	-0.89013,	1.82003,	124.756,	15
35,	-6000113,	41.9057,	0.000820621,	-2.31535,	41.9057,	15
