mass_GeV,mixing_sq,flavor,column,target_variant,curve_role,source_ref
0.5570495167,1.50830031894e-07,e_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
0.9421601762,6.28906133244e-08,e_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
1.2090453823,3.51244457972e-08,e_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
1.3452569045,2.92605826709e-08,e_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
1.4823549795,2.42769570071e-08,e_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
1.6145229546,0.00999964340607,e_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
1.9031902665,1.87986268218e-08,e_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
2.3334141214,2.11469983354e-08,e_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
2.6241659146,3.7254407673e-08,e_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
2.7720822165,3.71794704881e-08,e_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
2.9198062282,3.65798586072e-08,e_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
3.36915725,3.82504698956e-08,e_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
3.8240571269,5.06146527223e-08,e_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
4.1307699479,8.57919697407e-08,e_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
4.2838635831,1.46902339052e-07,e_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
