mass_GeV,mixing_sq,flavor,column,target_variant,curve_role,source_ref
0.5570495167,7.44295910991e-06,tau_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
0.9421601762,2.2022886246e-06,tau_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
1.2090453823,1.16440677878e-06,tau_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
1.3452569045,1.08455438684e-06,tau_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
1.4823549795,8.38124913309e-07,tau_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
1.9031902665,1.62761115659e-06,tau_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
2.083960116,0.00999964340607,tau_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
2.3334141214,2.59054486299e-06,tau_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
2.6241659146,1.94190368059e-06,tau_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
2.7720822165,1.70880846347e-06,tau_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
2.9198062282,1.53769507643e-06,tau_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
3.36915725,1.24758700214e-06,tau_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
3.8240571269,1.485504187e-06,tau_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
4.1307699479,2.60107487259e-06,tau_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
4.2838635831,2.96789743216e-06,tau_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
4.4383581568,3.4911317984e-06,tau_only,codexb,CODEXB1,future_sensitivity,CODEX-b:2019jve HNL combined vector plots
