mass_GeV,mixing_sq,flavor,column,target_variant,curve_role,source_ref
0.1,5.80916845718e-06,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.1002649178,2.24261236828e-06,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.100786731,1.83196212323e-06,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.1008097159,1.49650547181e-06,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.1014804389,1.30828767808e-06,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.102348803,1.22247539879e-06,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.1023953234,8.15763414722e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.1029827948,7.70952972155e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.1045073975,7.09065898415e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.1069367613,6.66386977268e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.1069611705,5.44362650943e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.1108348664,4.70949730888e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.1124887055,4.44683072264e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.114140843,4.13858953476e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.1158306343,3.94039082191e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.1175454301,3.80313529834e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.1208689164,3.63255682216e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.1210515814,2.96171700633e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.1265078509,2.80520043234e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.1458573692,2.42402175156e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.1487042126,2.31157979727e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.1531397541,2.19275173056e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.1577076147,2.11073923218e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.1648161154,2.02637823721e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.172245024,1.95258346317e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.1969416741,1.61756078148e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.2024661749,1.40272997013e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.2054635629,1.30228897277e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.2195328021,1.07940569432e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.2211294284,1.04879289898e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.2244031145,1.002328515e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.2310965988,9.44191899163e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.2379897604,9.09276552246e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.2462657525,8.81752142892e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.2523989937,7.54700992408e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.2561398382,7.20291587851e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.279746116,6.22483282311e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.2923553406,5.76368735682e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.3010757618,5.09423472179e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.3055329734,4.77485428074e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.3100562339,4.58952687149e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.3240316512,4.33470375699e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.3487379115,4.01863250642e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.3591400477,3.8989803007e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.3698525337,3.68970419187e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.3808844758,3.53140760419e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.3865231983,3.47724334813e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.4678924917,2.46144482404e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.58328549,1.72786918247e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.6095765164,1.64206902729e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.6560545565,1.54565847158e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.6657671112,1.53239323476e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.6856255779,1.44922656469e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.692862783,1.42825162628e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.6957757746,1.40366090623e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.7060763818,1.33559614761e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.7165294842,1.24992960931e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.7245276711,1.16671974096e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.7379020883,1.11939778284e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.7599121932,1.06856237415e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.7825788145,1.02756817533e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.8059215345,9.17181476955e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.8299605199,8.72744285561e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.854716539,8.30623916365e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.8719960949,7.78557409701e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.8802111588,7.33974974921e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.893242056,6.9656343675e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.9064660513,6.7562766345e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.9531735899,6.3599385498e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.9755808619,5.59941443667e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
0.9900236394,5.17594961423e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
1.0346479925,4.87162825066e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
1.130021328,4.36211817782e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
1.1637275452,4.1786044647e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
1.28981587,3.40936148848e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
1.4087107404,3.1837580894e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
1.4295659879,3.15810970532e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
1.4507296909,3.16567190089e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
1.5161199213,3.24767177589e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
1.5385649934,3.27975521836e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
1.5659277772,3.46688019959e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
1.5844575528,3.62767662842e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
1.6558754367,4.13823900737e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
1.6663117267,4.24401603004e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
1.6803894893,4.52803784964e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
1.7065552196,5.19534913931e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
1.7305117062,5.68009374671e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
1.7486349552,6.3599385498e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
1.7752983996,7.23827599358e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
1.7821296825,7.20802314983e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
1.8103802616,7.14013327101e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
1.9198404549,6.91618496714e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
1.9964665013,6.85379815879e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.0738418265,8.70507523895e-05,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.0761509013,6.91020440045e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.1171779418,8.13949761006e-05,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.1528955629,6.8585834607e-05,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.1590157221,7.09650159976e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.2016802633,7.2169562658e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.245187903,5.87630122894e-05,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.2617783383,5.40377481532e-05,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.2895553018,7.72588492818e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.3347994496,4.7737584036e-05,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.3532305565,4.2575439679e-05,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.3809376718,3.81898983016e-05,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.4238768831,2.64291901418e-05,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.4279876364,8.84969995222e-09,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.4382602342,3.354451357e-05,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.4759673603,2.5206342891e-05,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.5248952168,1.00780712608e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.545701177,2.08231396795e-05,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.5747899418,1.99056572796e-05,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.6256706419,1.15504942972e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.6751898879,1.29261879968e-05,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.6775568009,1.32903549556e-05,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.681434847,1.28491994051e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.7304682879,1.38023746111e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.7512707935,1.64062041379e-05,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.7750139472,8.02407874001e-06,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.7813546487,1.01843384809e-05,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.7844253644,1.51308361688e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.7998104551,6.32204435726e-06,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.8221806219,1.63084885119e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.8316226324,4.98103321067e-06,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.8394486926,1.86004820433e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.8687572471,2.06990948743e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.8925111923,3.92447705502e-06,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.8955593426,2.12629683425e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.9527788012,2.37697393854e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
2.9790276441,3.09203321961e-06,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
3.0017360833,2.43616392634e-06,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
3.0111289796,2.40169779194e-06,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
3.0612709879,1.9194149139e-06,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
3.0706322222,2.44777437776e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
3.131312592,1.7248427129e-06,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
3.1931907958,1.35640084437e-06,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
3.2431958054,1.19149745921e-06,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
3.2562904531,1.14472374521e-06,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
3.3206383579,2.51849601793e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
3.3386416657,9.38761947976e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
3.3810335614,7.39635647694e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
3.4531754614,2.5842092658e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
3.5214140319,2.64164389118e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
3.5754809757,4.59136786207e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
3.6233801068,3.61746590793e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
3.6619632292,2.93431025164e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
3.6931979424,2.85014400679e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
3.7343276772,2.50972237076e-07,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
3.7616916802,3.33447218867e-08,e_only,anubis,ANUBISceiling,future_sensitivity,arXiv:2512.13011 Figure 1
