mass_GeV,mixing_sq,flavor,column,target_variant,curve_role,source_ref
0.1,3.0359739385e-05,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.1001116594,1.69486140672e-05,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.1003649329,1.38450972155e-05,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.1004110481,9.23889658054e-06,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.101181019,7.54713163062e-06,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.101204006,6.1651578676e-06,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.1014804389,5.84465085735e-06,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.1029827948,5.1352999496e-06,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.1034704083,5.0362353929e-06,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.103494116,4.11403799155e-06,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.1038423454,3.36070287019e-06,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.1045073975,3.22342057894e-06,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.1060545656,3.01238631019e-06,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.1076246386,2.88007769616e-06,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.1102419666,2.74531633406e-06,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.1102671246,2.24261236828e-06,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.1124757089,2.13548985455e-06,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.1158306343,2.0297548257e-06,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.1192856305,1.95908550136e-06,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.1210515814,1.93186616677e-06,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.1253855422,1.83196212323e-06,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.1265078509,1.71537542791e-06,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.1283807223,1.60057712334e-06,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.1302813337,1.53160981462e-06,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
0.1322100692,1.47732697367e-06,e_only,codexb,CODEXB1,future_sensitivity,arXiv:2512.13011 Figure 1
