mass_GeV,mixing_sq,flavor,column,target_variant,curve_role,source_ref
0.1,7.7456302923e-06,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.1001654162,3.36070287019e-06,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.1004890249,2.74531633406e-06,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.1005119316,2.24261236828e-06,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.1014805269,1.83196212323e-06,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.1015037993,1.49650547181e-06,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.1036206979,1.22247539879e-06,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.1043703441,9.98624933509e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.1045073975,8.10067979222e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.1060545656,7.53957817272e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.1076246386,7.20142770827e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.1092179612,6.97535086773e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.1129310127,6.66386977268e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.112956842,5.44362650943e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.1198898845,4.44683072264e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.1228436761,4.2035698333e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.1265078509,4.00317554421e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.1322100692,3.8059770555e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.1402148075,3.64231934764e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.1408569469,3.63255682216e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.1416397024,2.96738731227e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.1624117092,2.60977185747e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.1966019424,2.16742236494e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.2024661749,1.84798992316e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.2054635629,1.75771341052e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.2085053254,1.6986468798e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.2147246333,1.62603184566e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.2157647222,1.61756078148e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.2211294284,1.42393387677e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.2244031145,1.31549969005e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.2379897604,1.11837334973e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.2415130534,1.07381408334e-07,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.2714755287,8.81752142892e-08,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.2756650351,8.51465574043e-08,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.2838875574,8.09952492162e-08,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.2923553406,7.81188714096e-08,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.3010757618,7.28188923242e-08,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.302804417,7.20291587851e-08,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.3100562339,6.55994960676e-08,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.3193045751,5.9936261104e-08,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.3336969184,5.38710007982e-08,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.3436504127,5.12419329436e-08,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.3591400477,4.8489906957e-08,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.392245478,4.44006086271e-08,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.4099255616,4.07847516355e-08,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.4284024704,3.73158325578e-08,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.4411809269,3.58331053766e-08,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.4610666342,3.39364412376e-08,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.4773719898,3.20742518501e-08,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
0.4889822909,3.03786288329e-08,e_only,mathusla,MATHUSLA40,future_sensitivity,arXiv:2512.13011 Figure 1
