mass_GeV,mixing_sq,flavor,column,target_variant,curve_role,source_ref
0.234188034,0.922699406,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.234188034,0.922699406,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.242268842,0.841978893,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.252836053,0.655945066,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.261538462,0.436273703,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.282051282,0.185127049,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.296348096,0.109587,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.321833722,0.0553826196,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.334887335,0.0413873357,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.355400155,0.0282229502,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.374048174,0.0202313143,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.39020979,0.0157612392,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.401398601,0.0137961858,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.417560218,0.0110196722,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.436829837,0.00880193817,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.46045066,0.00657767315,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.471017871,0.863265884,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.481585082,0.683816789,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.489044289,0.00491548375,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.505827506,0.00416176073,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.507070707,0.490186612,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.530691531,0.00329664581,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.533799534,0.360268678,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.554312354,0.00269976089,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.557420357,0.271478187,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.567365967,0.00240282915,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.567987568,0.249798808,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.57979798,0.00217444986,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.584770785,0.204570673,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.586013986,0.00208582135,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.595959596,0.00188757238,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.596581197,0.186674217,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.608391608,0.158050248,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.614607615,0.00161149483,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.616472416,0.150351731,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.623310023,0.00154581183,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.624553225,0.136061401,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.633877234,0.00141057957,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.64009324,0.115198224,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.644444444,0.00133074973,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.65003885,0.104249094,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.655633256,0.00120426729,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.663092463,0.00114560828,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.669308469,0.0839646314,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.679254079,0.0759841294,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.682362082,0.000986224764,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.696037296,0.0617108383,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.711577312,0.0526849712,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.712198912,0.000828079988,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.722766123,0.000755637066,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.727738928,0.0442367418,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.746386946,0.0353339973,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.75011655,0.000634467877,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.77000777,0.0268482302,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.77995338,0.0005371808,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.787412587,0.021444963,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.78989899,0.000498414148,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.7998446,0.000474136746,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.806060606,0.0172722692,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.811655012,0.000432657841,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.813519814,0.015372588,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.82968143,0.000408172154,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.834654235,0.0119760404,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.840870241,0.000375576833,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.857031857,0.000351384931,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.857653458,0.00887549883,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.869463869,0.000326026583,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.878787879,0.000320644723,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.883760684,0.00625727932,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.890598291,0.00547714473,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.896814297,0.000297504799,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.90986791,0.00419654193,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.917948718,0.000271478187,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.927894328,0.00300824534,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.939083139,0.000280667917,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.945920746,0.00212083081,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.955866356,0.00028776379,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.95959596,0.00165223679,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.967676768,0.000307575549,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.976379176,0.00105412367,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.977622378,0.000339879759,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.980730381,0.000930410705,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.982595183,0.000381880701,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.984459984,0.000807660634,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.986946387,0.000451041879,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.986946387,0.000683816789,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.987567988,0.000498414148,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.988189588,0.000490186612,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.988189588,0.000490186612,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.988189588,0.00054619711,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
0.988189588,0.000569405538,tau_only,past_exclusion,published_exclusions,past_exclusion_component,ArgoNeuT:2021clc via HNLimits Utau4 single-flavor compilation
