mass_GeV,mixing_sq,flavor,column,target_variant,curve_role,source_ref
0.654152138,0.00929900796,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.655331032,0.00741283087,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.656737247,0.00822607056,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.659558737,0.00687196565,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.660974024,0.00564955708,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.662392348,0.00627321605,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.665238133,0.00522767735,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.668096144,0.00399647048,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.668096144,0.00435639554,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.668096144,0.00476045013,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.672406199,0.00328758912,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.673849054,0.00363032774,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.678196223,0.00296439929,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.685503916,0.00272786912,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.693782054,0.00242360911,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.701558382,0.00936522631,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.701859206,0.00217327256,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.709421871,0.00181664577,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.713080842,0.00191877783,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.721691999,0.00167478706,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.727906418,0.0015326355,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.734174349,0.0014025494,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.740496253,0.00128350466,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.746872594,0.00117456413,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.753303841,0.00107487019,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.759790467,0.000978802938,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
0.766332949,0.000891321761,mu_only,past_exclusion,published_exclusions,past_exclusion_component,ATLAS:2025uah via HNLimits Umu4 single-flavor compilation
