mass_GeV,mixing_sq,flavor,column,target_variant,curve_role,source_ref
0.1,0.0231,tau_only,past_exclusion,published_exclusions,past_exclusion_component,BaBar:2022cqj via HNLimits Utau4 single-flavor compilation
0.2,0.0195,tau_only,past_exclusion,published_exclusions,past_exclusion_component,BaBar:2022cqj via HNLimits Utau4 single-flavor compilation
0.3,0.00967,tau_only,past_exclusion,published_exclusions,past_exclusion_component,BaBar:2022cqj via HNLimits Utau4 single-flavor compilation
0.4,0.00214,tau_only,past_exclusion,published_exclusions,past_exclusion_component,BaBar:2022cqj via HNLimits Utau4 single-flavor compilation
0.5,0.000585,tau_only,past_exclusion,published_exclusions,past_exclusion_component,BaBar:2022cqj via HNLimits Utau4 single-flavor compilation
0.6,0.000622,tau_only,past_exclusion,published_exclusions,past_exclusion_component,BaBar:2022cqj via HNLimits Utau4 single-flavor compilation
0.7,0.000485,tau_only,past_exclusion,published_exclusions,past_exclusion_component,BaBar:2022cqj via HNLimits Utau4 single-flavor compilation
0.8,0.000385,tau_only,past_exclusion,published_exclusions,past_exclusion_component,BaBar:2022cqj via HNLimits Utau4 single-flavor compilation
0.9,5.38e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,BaBar:2022cqj via HNLimits Utau4 single-flavor compilation
1,9.11e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,BaBar:2022cqj via HNLimits Utau4 single-flavor compilation
1.1,4.78e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,BaBar:2022cqj via HNLimits Utau4 single-flavor compilation
1.2,5.04e-06,tau_only,past_exclusion,published_exclusions,past_exclusion_component,BaBar:2022cqj via HNLimits Utau4 single-flavor compilation
1.3,4.09e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,BaBar:2022cqj via HNLimits Utau4 single-flavor compilation
