mass_GeV,mixing_sq,flavor,column,target_variant,curve_role,source_ref
0.3591539,0.795933165,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
0.359153902,0.0202679824,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
0.359883297,0.795933165,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
0.383223924,0.0145833415,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
0.41750547,0.0103635633,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
0.448869438,0.00818491475,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
0.46345733,0.00731920522,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
0.485339168,0.00683587851,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
0.508679796,0.00650453797,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
0.580160467,0.00510533536,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
0.653099927,0.00383664353,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
0.707075128,0.00301133639,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
0.769803063,0.00230556915,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
0.843471918,0.00183223192,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
0.871188913,0.00163843874,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
0.919328957,0.00148345523,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
0.952151714,0.00138549466,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
0.972574763,0.00137691655,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
0.979868709,0.79100525,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
0.992997812,0.00127011651,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
0.998832969,0.689985857,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
1.01123268,0.562123087,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
1.01196207,0.00125443768,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
1.04405543,0.46367868,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
1.05353756,0.00123128158,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
1.05718454,0.409517458,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
1.07469001,0.0011499734,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
1.09511306,0.327470323,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
1.11115974,0.00110790975,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
1.12428884,0.276915072,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Belle:2024wyk via HNLimits Utau4 single-flavor compilation
