mass_GeV,mixing_sq,flavor,column,target_variant,curve_role,source_ref
0.100394639,0.000612386635,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
0.100394639,0.00515658643,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
0.121908143,0.000344613036,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
0.157771965,0.000172278115,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
0.175448369,0.000133681402,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
0.189853161,0.000120783426,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
0.202962588,0.000112883789,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
0.249465297,6.24587999e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
0.317988984,3.01859023e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
0.446657992,1.09437884e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
0.586889202,5.02743413e-06,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
0.666645078,3.52471189e-06,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
0.739087377,2.73504518e-06,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
0.809524097,2.27081184e-06,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
0.881316366,1.9834882e-06,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
0.936465102,1.82267784e-06,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
0.995090675,1.88537523e-06,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.01206831,0.00515658643,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.02889586,2.01731428e-06,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.08338008,1.95022931e-06,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.10504572,0.00266654301,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.17234599,1.88537523e-06,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.18123978,0.0016329553,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.24368495,0.00106998026,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.25332483,1.95022931e-06,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.3213912,0.00065524161,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.36457169,2.34892437e-06,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.40393695,0.000381412875,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.42386881,2.78168818e-06,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.44711309,0.00028132246,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.47812185,0.0002258048,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.49938545,3.83568849e-06,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.52817755,0.00015047993,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.54103572,5.4709922e-06,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.54676661,0.000118758144,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.57032417,8.9087424e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.57426761,8.07191805e-06,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.58877641,1.09437884e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.58940819,6.68296829e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.59857066,1.53478134e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.60357383,2.30303799e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
1.60357383,2.30303799e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,Boiarska:2021yho via HNLimits Utau4 single-flavor compilation
