mass_GeV,mixing_sq,flavor,column,target_variant,curve_role,source_ref
0.995294965494,0.015782716445,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2018iaf via HNLimits Umu4 single-flavor compilation
1.09019124102,0.0112016172666,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2018iaf via HNLimits Umu4 single-flavor compilation
1.31192903884,0.00631192811941,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2018iaf via HNLimits Umu4 single-flavor compilation
1.55329070643,0.00385619105949,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2018iaf via HNLimits Umu4 single-flavor compilation
1.82168236964,0.00235930876495,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2018iaf via HNLimits Umu4 single-flavor compilation
2.13190629071,0.00147198246288,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2018iaf via HNLimits Umu4 single-flavor compilation
2.51875574635,0.000931009313039,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2018iaf via HNLimits Umu4 single-flavor compilation
2.9899590558,0.000596208609242,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2018iaf via HNLimits Umu4 single-flavor compilation
3.48256678306,0.000390525758829,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2018iaf via HNLimits Umu4 single-flavor compilation
4.04274366016,0.000265552145537,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2018iaf via HNLimits Umu4 single-flavor compilation
4.64948364546,0.000177841535495,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2018iaf via HNLimits Umu4 single-flavor compilation
5.3661013858,0.000126258761878,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2018iaf via HNLimits Umu4 single-flavor compilation
6.3398183869,8.53282595981e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2018iaf via HNLimits Umu4 single-flavor compilation
7.52585772777,5.57933615349e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2018iaf via HNLimits Umu4 single-flavor compilation
8.72426748413,3.67154129943e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2018iaf via HNLimits Umu4 single-flavor compilation
10.4056545279,2.7432623618e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2018iaf via HNLimits Umu4 single-flavor compilation
11.9486787306,2.14696464444e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2018iaf via HNLimits Umu4 single-flavor compilation
13.2440725725,2.00163330556e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2018iaf via HNLimits Umu4 single-flavor compilation
15.1236598763,1.84294970556e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2018iaf via HNLimits Umu4 single-flavor compilation
17.8679547902,1.58139170248e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2018iaf via HNLimits Umu4 single-flavor compilation
20.9107832706,1.51271683517e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2018iaf via HNLimits Umu4 single-flavor compilation
24.5882149095,1.61736374473e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2018iaf via HNLimits Umu4 single-flavor compilation
