mass_GeV,mixing_sq,flavor,column,target_variant,curve_role,source_ref
1.09927361,0.000122206242,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
1.09927361,0.0198133074,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
2.0968523,1.37898419e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
3.09443099,4.08040286e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
4.08232446,1.83834967e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
4.39225182,0.0198133074,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
4.65375303,0.0146131189,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
5.01210654,0.00952826092,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
5.11864407,1.02198345e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
5.69007264,0.00426177744,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
6.10653753,0.00258453223,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
6.97820823,0.00124290695,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
7.12348668,4.91473974e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
7.19128329,0.00102941814,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
7.65617433,0.000666368694,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
8.13075061,4.0119713e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
8.37288136,0.000349580094,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
8.68280872,0.000267345207,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
9.11864407,0.000182066838,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
9.1283293,3.52123207e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
9.36077482,0.000155230074,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
9.85472155,0.000111216696,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
10.0677966,3.20458097e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
10.125908,9.27835839e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
10.5617433,6.69596572e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
11.1041162,4.39776379e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
11.1138015,3.25137571e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
11.3849879,3.66887617e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
12.0823245,2.39223466e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
12.0920097,3.67775142e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
12.3922518,1.92470938e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
13.1767554,1.10147011e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
14.0968523,5.80635337e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
14.0968523,5.41343894e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
14.62954,3.03135595e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
15.094431,9.50526706e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
15.094431,9.50526706e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
15.094431,1.78581434e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2022fut via HNLimits Umu4 single-flavor compilation
