mass_GeV,mixing_sq,flavor,column,target_variant,curve_role,source_ref
0.997299122,0.00153037833,tau_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2024ake via HNLimits Utau4 single-flavor compilation
0.997299122,0.0351119173,tau_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2024ake via HNLimits Utau4 single-flavor compilation
1.11276165,0.00114319997,tau_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2024ake via HNLimits Utau4 single-flavor compilation
1.24240378,0.000816716886,tau_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2024ake via HNLimits Utau4 single-flavor compilation
1.30790007,0.000692686164,tau_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2024ake via HNLimits Utau4 single-flavor compilation
1.43551654,0.000452624132,tau_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2024ake via HNLimits Utau4 single-flavor compilation
1.49898717,0.0351119173,tau_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2024ake via HNLimits Utau4 single-flavor compilation
1.50236327,0.000365879689,tau_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2024ake via HNLimits Utau4 single-flavor compilation
1.60027009,0.0173160996,tau_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2024ake via HNLimits Utau4 single-flavor compilation
1.61985145,0.0130690618,tau_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2024ake via HNLimits Utau4 single-flavor compilation
1.62457799,0.000306084986,tau_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2024ake via HNLimits Utau4 single-flavor compilation
1.70087779,0.00391872295,tau_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2024ake via HNLimits Utau4 single-flavor compilation
1.73531398,0.000269587932,tau_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2024ake via HNLimits Utau4 single-flavor compilation
1.80081026,0.000253439798,tau_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2024ake via HNLimits Utau4 single-flavor compilation
1.80148548,0.00179822287,tau_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2024ake via HNLimits Utau4 single-flavor compilation
1.83862255,0.00150951543,tau_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2024ake via HNLimits Utau4 single-flavor compilation
1.89601621,0.00030925232,tau_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2024ake via HNLimits Utau4 single-flavor compilation
1.89804186,0.00108957674,tau_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2024ake via HNLimits Utau4 single-flavor compilation
2,0.000498271983,tau_only,past_exclusion,published_exclusions,past_exclusion_component,CMS:2024ake via HNLimits Utau4 single-flavor compilation
