mass_GeV,mixing_sq,flavor,column,target_variant,curve_role,source_ref
1.81046597899,0.01,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
1.96426977097,0.00637021811389,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
2.11850978473,0.00413447678103,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
2.47858336258,0.00161300651309,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
2.87212095484,0.000665116662683,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
3.51442109875,0.00020174962694,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
4.14537419298,8.09118012384e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
4.54175597319,4.99819339634e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
4.75394140348,4.03033593032e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
5.07437356882,3.08755173471e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
5.32879355254,2.70240690458e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
5.59596969765,2.41428934387e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
5.93432196047,2.13489664437e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
6.33431587588,1.94678283075e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
6.8648768466,1.81927567533e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
7.19350433925,1.79353228536e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
7.75356891114,1.80105297371e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
9.10051550505,1.83768275067e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
10.819208348,1.87505750326e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
12.5772579032,1.91319238276e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
14.1147208451,1.95210284864e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
15.5385646468,2.00521724702e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
16.8511248069,2.0491450453e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
18.831638573,2.11582090437e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
21.5912417654,2.24714991931e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
23.9664328902,2.34118752752e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
25.6946635565,2.41165534764e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
27.7481363574,2.43605600461e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
32.5647595165,2.46428761665e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
37.9821838787,2.48560045967e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
41.0176539227,2.5361525488e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
46.3150758471,2.78678752379e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
50.909504121,3.21675805862e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
53.8118827158,3.71306829795e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
56.5099139386,4.41977940087e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
58.5333873423,5.13117937162e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
62.4064379766,7.37242112146e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
64.5949104186,9.53297571449e-05,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
67.9720514622,0.00015373333082,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
70.2598160474,0.00022880371204,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
71.6233663874,0.000295767009687,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
72.5470699891,0.000369091720971,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
73.4826863001,0.00046525484351,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
74.908783713,0.000635658283445,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
76.1183174343,0.000854023474805,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
77.3473811995,0.0011865589686,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
78.3449055857,0.00154156557612,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
79.3552947243,0.00196286589475,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
80.3709589458,0.00238152200888,tau_only,past_exclusion,published_exclusions,past_exclusion_component,DELPHI:1996qcc via HNLimits Utau4 single-flavor compilation
