mass_GeV,mixing_sq,flavor,column,target_variant,curve_role,source_ref
0.0100624198,2.09086576e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,Ema:2023buz via HNLimits Umu4 single-flavor compilation
0.0114535675,1.4981879e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,Ema:2023buz via HNLimits Umu4 single-flavor compilation
0.0123255504,1.23380435e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,Ema:2023buz via HNLimits Umu4 single-flavor compilation
0.0131975968,1.03219812e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,Ema:2023buz via HNLimits Umu4 single-flavor compilation
0.0140696856,8.72645132e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,Ema:2023buz via HNLimits Umu4 single-flavor compilation
0.0149418167,7.45538563e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,Ema:2023buz via HNLimits Umu4 single-flavor compilation
0.0158139831,6.42540863e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,Ema:2023buz via HNLimits Umu4 single-flavor compilation
0.0166861849,5.58636862e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,Ema:2023buz via HNLimits Umu4 single-flavor compilation
0.0175584572,4.94259269e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,Ema:2023buz via HNLimits Umu4 single-flavor compilation
0.0184307013,4.3425167e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,Ema:2023buz via HNLimits Umu4 single-flavor compilation
0.0193030019,3.86905843e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,Ema:2023buz via HNLimits Umu4 single-flavor compilation
0.0201753342,3.47446113e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,Ema:2023buz via HNLimits Umu4 single-flavor compilation
0.0210476948,3.14201449e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,Ema:2023buz via HNLimits Umu4 single-flavor compilation
0.0219201012,2.87386635e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,Ema:2023buz via HNLimits Umu4 single-flavor compilation
0.0227924653,2.60116028e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,Ema:2023buz via HNLimits Umu4 single-flavor compilation
0.0245373348,2.20678996e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,Ema:2023buz via HNLimits Umu4 single-flavor compilation
0.0262823877,1.95932063e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,Ema:2023buz via HNLimits Umu4 single-flavor compilation
0.0271548577,1.82054178e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,Ema:2023buz via HNLimits Umu4 single-flavor compilation
0.0283422066,1.68032438e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,Ema:2023buz via HNLimits Umu4 single-flavor compilation
0.0297726137,1.59114005e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,Ema:2023buz via HNLimits Umu4 single-flavor compilation
