mass_GeV,mixing_sq,flavor,column,target_variant,curve_role,source_ref
0.00987373103,0.00978613942,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.010194881,0.00325990663,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0120241911,0.00216336664,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0138041533,0.0014681223,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0155841395,0.000999219042,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0173641257,0.000680078691,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0192924785,0.000450133762,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0219645264,0.000324809676,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0252313319,0.000245173573,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0284981768,0.0001859476,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0317650216,0.000141028699,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0350318403,0.000106621046,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0382986589,8.0608043e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0415655038,6.11357576e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0448323224,4.62200848e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0480991542,3.49991033e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0513664319,2.79748831e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0546342997,2.40194453e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0579022069,2.0721915e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0611700486,1.77354862e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0644379558,1.53006547e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0677058368,1.31581686e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0709737178,1.13156858e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0742415987,9.73119814e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0775094797,8.36857955e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0807773738,7.20821817e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0840452286,6.17919464e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0873131489,5.33936402e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0905810037,4.57713248e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0938489109,3.9487569e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.0971167787,3.39043241e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.100384725,2.93896374e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.103652974,2.64253288e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.106921235,2.37978275e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.110189522,2.14998637e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.113457784,1.93621072e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.116726045,1.74369103e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.11999432,1.57281335e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.123262581,1.41642668e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.126530855,1.27762015e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.129799117,1.15058489e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.133067391,1.03783024e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.136335665,9.3612528e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.139603927,8.43045251e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.142872188,7.59220278e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.146140463,6.84818451e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.149635584,6.04703111e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
0.150291754,2.18683424e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,MicroBooNE:2023icy via HNLimits Umu4 single-flavor compilation
