mass_GeV,mixing_sq,flavor,column,target_variant,curve_role,source_ref
0.2,2.69182e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.201,4.79137e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.202,3.59478e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.203,3.55925e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.204,2.32205e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.205,3.33988e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.206,3.21189e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.207,3.696e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.208,4.87425e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.209,3.97163e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.21,2.94719e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.211,2.69458e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.212,2.87414e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.213,2.2755e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.214,1.9795e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.215,1.73044e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.216,1.88803e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.217,2.76594e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.218,3.42903e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.219,2.63119e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.22,2.82851e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.221,2.75027e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.222,3.42503e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.223,2.78576e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.224,2.71402e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.225,2.4479e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.226,2.86234e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.227,2.46708e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.228,2.02712e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.229,1.44332e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.23,1.40898e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.231,1.33395e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.232,1.28298e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.233,8.41669e-09,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.234,6.7624e-09,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.235,5.82157e-09,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.236,6.18007e-09,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.237,7.41413e-09,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.238,7.53547e-09,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.239,1.14791e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.24,1.81247e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.241,2.71136e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.242,3.28486e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.243,2.67132e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
0.244,2.51209e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NA62:2021bji via HNLimits Umu4 single-flavor compilation
