mass_GeV,mixing_sq,flavor,column,target_variant,curve_role,source_ref
0.210305141,7.56949342e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.218726824,4.25591542e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.226594303,3.30328374e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.23752623,2.10546099e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.250948494,1.29937246e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.260997742,1.00372511e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.275746348,5.97253034e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.286788628,4.54931572e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.300624599,2.91189306e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.32011643,1.84301993e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.332935512,1.44176752e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.357878896,8.78120033e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.37750875,8.2138964e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.384993237,1.29412411e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.388028416,2.20559499e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.388028416,2.88748257e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.388028416,5.29364702e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.389554968,7.10749779e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.403567039,9.22686756e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.448700456,7.32003081e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.477793196,6.46526261e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.541759907,4.81531182e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.574625767,4.27353089e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.641403219,3.53398396e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.718757499,2.95510903e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.765360138,2.60455035e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.861037981,1.96865263e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
0.913272843,1.68473719e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
1.00746724,1.27073352e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
1.11574909,9.82980622e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
1.18809178,9.0361713e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
1.3684778,7.4455246e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
1.45720686,6.7870141e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
1.63062919,6.35301868e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
1.78027546,8.79599745e-08,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
1.78307369,1.15024731e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
1.7909,7.61546356e-07,mu_only,past_exclusion,published_exclusions,past_exclusion_component,NuTeV:1999kej via HNLimits Umu4 single-flavor compilation
