mass_GeV,mixing_sq,flavor,column,target_variant,curve_role,source_ref
0.0620342,2.89171e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0625941,2.77347e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0631491,2.643e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0636992,3.10113e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0642447,2.85668e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0647855,2.35688e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0653219,1.73074e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0658539,1.4823e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0663816,1.32572e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0669052,8.99711e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0674247,7.95607e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0679402,7.06512e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0684519,6.26332e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0689597,5.39984e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0694639,4.76166e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0699644,4.21449e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0704613,3.86724e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0709548,3.46082e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0714449,3.08751e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0719316,3.01735e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.072415,3.8278e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0728953,4.3128e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0733724,5.12605e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0738464,5.82332e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0743174,7.14551e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0747854,8.881e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0752506,1.12135e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0757128,1.43009e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0761723,1.83588e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.076629,1.91419e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.077083,1.87289e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0775343,1.90525e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0779831,1.68856e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0784292,1.48953e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0788729,1.48539e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.079314,1.28404e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0797527,1.13223e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0801891,1.00749e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.080623,8.82721e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0810546,8.545e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.081484,8.30511e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0819111,8.16268e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.082336,8.3555e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0827587,8.13835e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0831792,7.80488e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0835976,7.39809e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.084014,6.82441e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0844283,6.64771e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0848406,6.98692e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0852508,6.81685e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0856592,6.71931e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0860655,6.56582e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.08647,6.42292e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0868726,6.49019e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0872733,6.75824e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0876722,6.81346e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0880693,6.93522e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0884646,6.92781e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0888582,7.25813e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.08925,7.47219e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0896401,7.72765e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0900285,7.89548e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0904152,8.24853e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0908003,8.46674e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0911838,9.10231e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0915656,9.95904e-09,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0919459,1.00143e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0923246,1.02809e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0927018,1.05424e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0930774,1.03922e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0934516,1.06432e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0938242,1.02783e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0941953,1.06029e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.094565,1.09768e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0949333,1.13903e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0953001,1.17907e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0956656,1.2703e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0960296,1.33048e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0963923,1.38055e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0967536,1.47407e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0971136,1.54095e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0974722,1.54616e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0978295,1.50049e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0981855,1.4368e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0985403,1.35043e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
0.0988937,1.24206e-08,e_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2017wbj
