mass_GeV,mixing_sq,flavor,column,target_variant,curve_role,source_ref
0.0156646824,5.95706734e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0161302909,4.1839499e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0165748782,3.45431158e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0170087736,3.3524137e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0174320443,3.71168294e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0178345491,4.31112264e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0182371344,4.83064588e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0186399481,4.88885056e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0190119889,4.49568464e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0194047823,3.96441813e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0197665342,3.5806856e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0201281384,3.45431158e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0204896351,3.49593274e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0208408428,3.47505985e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0211921715,3.27306392e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0215333186,2.88627762e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0218642843,2.38294015e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0221952634,1.95563313e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0225260813,1.72453098e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0228463013,1.71423446e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.02315591,1.93235015e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.02346525,2.45537051e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0237641131,3.33239771e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0240735203,4.10945411e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0243729744,4.28538255e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0246724956,4.33701733e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0249719228,4.57718198e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.025250705,4.80180391e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0255400716,4.49568464e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0258296128,3.89383113e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
