mass_GeV,mixing_sq,flavor,column,target_variant,curve_role,source_ref
0.0281476461,1.03442277e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0283034774,1.02537777e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0284593199,1.01132373e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0286151765,9.91224644e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0287710077,9.82557372e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0289268559,9.66661575e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0290827012,9.52216876e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0292385269,9.46262142e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0293943722,9.3212227e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0295502006,9.25131766e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0297060206,9.21656198e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0298618435,9.17042411e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0300176719,9.10164999e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0301734947,9.05608736e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0303293007,9.07884009e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0304851179,9.05608736e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.030640921,9.09023789e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0307967269,9.11307642e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0309525272,9.15892577e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0311083304,9.1934641e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0312641222,9.27456089e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0314199085,9.37988023e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0315756919,9.49830499e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0317314725,9.63029987e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0318872418,9.81325393e-06,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0320430027,1.00373925e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0321987665,1.02537777e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0323545161,1.05407448e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.032510232,1.10001163e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0326659648,1.13934163e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0328216835,1.18750396e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0329773628,1.25963439e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0331329918,1.36641929e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0332904822,1.47805004e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0334287132,1.63894496e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0336348414,2.0090507e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
0.0338195858,3.40298126e-05,mu_only,past_exclusion,published_exclusions,past_exclusion_component,PIENU:2019usb via HNLimits Umu4 single-flavor compilation
