# ANUBIS HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from PBC 2025 comparison plot (approximate)
# mass_GeV  u2_min  u2_max
0.30  3.0e-06  2.0e-05
0.40  1.5e-06  1.5e-05
0.50  8.0e-07  1.2e-05
0.60  5.0e-07  1.0e-05
0.70  3.5e-07  8.0e-06
0.80  2.5e-07  7.0e-06
0.90  1.8e-07  6.5e-06
1.00  1.3e-07  6.0e-06
1.20  7.0e-08  5.5e-06
1.50  3.5e-08  5.0e-06
2.00  2.5e-08  8.0e-06
2.50  5.0e-08  2.0e-05
3.00  1.5e-07  6.0e-05
3.50  5.0e-07  2.0e-04
4.00  2.0e-06  8.0e-04
5.00  8.0e-06  5.0e-03
