# SHiP HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from PBC 2025 comparison plot (approximate)
# mass_GeV  u2_min  u2_max
0.20  5.0e-08  2.0e-04
0.30  8.0e-09  1.5e-04
0.40  2.0e-09  1.2e-04
0.50  5.0e-10  1.0e-04
0.60  2.0e-10  9.0e-05
0.70  1.0e-10  8.0e-05
0.80  5.0e-11  7.0e-05
0.90  3.0e-11  6.0e-05
1.00  2.0e-11  5.5e-05
1.20  1.5e-11  4.5e-05
1.50  3.0e-11  3.5e-05
2.00  2.0e-10  3.0e-05
2.50  2.0e-09  3.5e-05
3.00  2.0e-08  5.0e-05
3.50  1.5e-07  8.0e-05
4.00  1.0e-06  2.0e-04
5.00  2.0e-05  2.0e-03
