# mass_GeV,Q_low,Q_high
10,0.222222,0.975947
10.3139,0.222301,0.975859
10.6376,0.22238,0.975771
10.9716,0.222459,0.975683
11.316,0.222539,0.975594
11.6712,0.222618,0.975506
12.0375,0.222698,0.975417
12.4154,0.222778,0.975329
12.8051,0.222857,0.97524
13.207,0.222937,0.975152
13.6216,0.223017,0.975063
14.0492,0.223097,0.974974
14.4902,0.223177,0.974886
14.945,0.223257,0.974797
15.4141,0.223337,0.974708
15.898,0.223417,0.974619
16.397,0.223497,0.97453
16.9117,0.223577,0.974441
17.4426,0.223658,0.974352
17.9901,0.223738,0.974263
18.5548,0.223819,0.974173
19.1372,0.223899,0.974084
19.7379,0.22398,0.973995
20.3575,0.224082,0.973882
20.9965,0.224201,0.97375
21.6556,0.22432,0.973619
22.3354,0.224439,0.973487
23.0365,0.224558,0.973355
23.7596,0.224677,0.973224
24.5054,0.224797,0.973092
25.2746,0.224916,0.97296
26.068,0.225036,0.972827
26.8862,0.225156,0.972695
27.7302,0.225276,0.972563
28.6006,0.225396,0.97243
29.4984,0.225517,0.972297
30.4244,0.225705,0.97209
31.3794,0.225975,0.971792
32.3644,0.226246,0.971494
33.3803,0.226518,0.971195
34,0.22668,0.971017
34.4281,0.226791,0.970896
34.4615,0.226799,0.970887
34.9231,0.226917,0.970757
35.3846,0.227081,0.970578
35.5088,0.227127,0.970527
35.8462,0.227252,0.97039
36.3077,0.227454,0.970168
36.6234,0.227602,0.970006
36.7692,0.22767,0.969932
37.2308,0.22787,0.969713
37.6923,0.228054,0.969512
37.773,0.228086,0.969477
38.1538,0.228263,0.969284
38.6154,0.228522,0.969001
38.9587,0.228714,0.968792
39.0769,0.228781,0.968718
39.5385,0.229044,0.968431
40,0.229306,0.968146
40.1816,0.229444,0.967996
40.4615,0.229656,0.967765
40.9231,0.230003,0.967388
41.3846,0.23044,0.966913
41.4429,0.230498,0.966851
41.8462,0.230893,0.966422
42.3077,0.231412,0.96586
42.7437,0.231931,0.965299
42.7692,0.231961,0.965266
43.2308,0.232632,0.964542
43.6923,0.233425,0.963689
44.0855,0.234195,0.962863
44.1538,0.234389,0.962655
44.6154,0.235699,0.961253
45.0769,0.237142,0.959717
45.4693,0.238923,0.95783
45.5385,0.23924,0.957496
46,0.241364,0.955261
46.4615,0.242817,0.953742
46.8966,0.244195,0.952308
46.9231,0.24428,0.952221
47.3846,0.245273,0.951191
47.8462,0.246172,0.950263
48.3077,0.246882,0.94953
48.3686,0.246964,0.949447
48.7692,0.247497,0.948898
49.2308,0.24806,0.948321
49.6923,0.248569,0.947799
49.8869,0.248784,0.94758
50.1538,0.248982,0.947377
50.6154,0.249202,0.947152
51.0769,0.249422,0.946928
51.4528,0.249599,0.946747
51.5385,0.249639,0.946706
52,0.249856,0.946485
53.0679,0.250351,0.945981
54.7337,0.25111,0.94521
56.4518,0.251875,0.944434
58.2238,0.252647,0.943654
60.0514,0.253426,0.942868
61.9364,0.254212,0.942078
63.8806,0.255006,0.941282
65.8858,0.255807,0.940481
67.954,0.256615,0.939675
70.087,0.257432,0.938863
72.287,0.258256,0.938045
74.5561,0.259088,0.937222
76.8964,0.259929,0.936393
79.3102,0.260779,0.935558
81.7997,0.261637,0.934717
84.3674,0.262504,0.93387
87.0156,0.26338,0.933017
89.747,0.264266,0.932157
92.5642,0.265162,0.931291
95.4697,0.266067,0.930417
98.4665,0.266983,0.929537
101.557,0.267825,0.928731
104.745,0.268591,0.927999
108.033,0.269364,0.927263
111.424,0.270145,0.926522
114.922,0.270934,0.925775
118.529,0.27173,0.925024
122.25,0.272535,0.924267
126.087,0.273348,0.923504
130.045,0.27417,0.922736
134.127,0.275,0.921963
138.337,0.275839,0.921183
142.68,0.276688,0.920398
147.158,0.277546,0.919607
151.778,0.278414,0.918809
156.542,0.279292,0.918005
161.456,0.28018,0.917195
166.524,0.281078,0.916378
171.751,0.281988,0.915555
177.142,0.282909,0.914724
182.703,0.283841,0.913887
188.438,0.284785,0.913042
194.353,0.285742,0.91219
200.453,0.286716,0.911326
206.746,0.287764,0.9104
213.235,0.288828,0.909466
219.929,0.289908,0.908521
226.832,0.291004,0.907568
233.952,0.292117,0.906604
241.296,0.293249,0.90563
248.87,0.294399,0.904646
256.682,0.295568,0.90365
264.74,0.296757,0.902644
273.05,0.297967,0.901626
281.621,0.299199,0.900596
290.461,0.300454,0.899554
299.578,0.301733,0.898499
308.982,0.303178,0.897316
318.681,0.304662,0.896111
328.684,0.30618,0.894888
339.001,0.307735,0.893647
349.642,0.309328,0.892386
360.618,0.310962,0.891106
371.937,0.312639,0.889805
383.612,0.314363,0.888483
395.654,0.316135,0.887137
408.073,0.317961,0.885768
420.883,0.319844,0.884374
434.094,0.321787,0.882953
447.72,0.323797,0.881505
461.774,0.325877,0.880028
476.269,0.328036,0.87852
491.219,0.33028,0.876979
506.638,0.332746,0.875318
522.542,0.335509,0.873496
538.944,0.33842,0.871625
555.861,0.341497,0.869699
573.31,0.344765,0.867714
591.306,0.348252,0.865667
609.867,0.351996,0.86355
629.01,0.356043,0.861357
648.755,0.360454,0.859081
669.119,0.365309,0.856713
690.122,0.370721,0.854243
711.785,0.377367,0.851447
734.128,0.385674,0.848308
757.172,0.39583,0.844968
780.94,0.408823,0.841389
805.453,0.426349,0.837522
830.736,0.450692,0.8333
856.813,0.482561,0.828627
883.708,0.519671,0.823356
911.447,0.560261,0.817248
940.057,0.604086,0.809869
969.566,0.651347,0.80025
1000,0.702882,0.78516
