# mass_GeV,Q_low,Q_high
10,0.0976668,0.983278
10.3139,0.0977225,0.983217
10.6376,0.0977784,0.983155
10.9716,0.0978342,0.983094
11.316,0.0978902,0.983032
11.6712,0.0979461,0.982971
12.0375,0.0980022,0.982909
12.4154,0.0980583,0.982848
12.8051,0.0981144,0.982786
13.207,0.0981706,0.982724
13.6216,0.0982269,0.982662
14.0492,0.0982832,0.982601
14.4902,0.0983396,0.982539
14.945,0.0983961,0.982477
15.4141,0.0984526,0.982415
15.898,0.0985091,0.982353
16.397,0.0985657,0.982291
16.9117,0.0986224,0.982229
17.4426,0.0986791,0.982167
17.9901,0.0987359,0.982105
18.5548,0.0987927,0.982043
19.1372,0.0988496,0.981981
19.7379,0.0989066,0.981919
20.3575,0.0989789,0.98184
20.9965,0.0990628,0.981748
21.6556,0.0991468,0.981657
22.3354,0.099231,0.981565
23.0365,0.0993153,0.981473
23.7596,0.0993997,0.981382
24.5054,0.0994842,0.98129
25.2746,0.0995688,0.981198
26.068,0.0996536,0.981106
26.8862,0.0997385,0.981014
27.7302,0.0998236,0.980921
28.6006,0.0999087,0.980829
29.4984,0.099994,0.980737
30.4244,0.100128,0.980592
31.3794,0.100319,0.980385
32.3644,0.100512,0.980177
33.3803,0.100705,0.979969
34,0.10082,0.979845
34.4281,0.100899,0.979761
34.4615,0.100905,0.979754
34.9231,0.100988,0.979664
35.3846,0.101105,0.979539
35.5088,0.101138,0.979504
35.8462,0.101227,0.979409
36.3077,0.101371,0.979254
36.6234,0.101476,0.979141
36.7692,0.101525,0.979089
37.2308,0.101667,0.978937
37.6923,0.101798,0.978797
37.773,0.101821,0.978773
38.1538,0.101947,0.978638
38.6154,0.102132,0.978441
38.9587,0.102269,0.978296
39.0769,0.102316,0.978245
39.5385,0.102505,0.978044
40,0.102691,0.977846
40.1816,0.10279,0.977741
40.4615,0.102942,0.977581
40.9231,0.103191,0.977318
41.3846,0.103504,0.976987
41.4429,0.103545,0.976944
41.8462,0.103828,0.976645
42.3077,0.104201,0.976254
42.7437,0.104574,0.975863
42.7692,0.104596,0.97584
43.2308,0.105079,0.975336
43.6923,0.105651,0.974742
44.0855,0.106206,0.974166
44.1538,0.106347,0.974021
44.6154,0.107296,0.973045
45.0769,0.108344,0.971975
45.4693,0.109644,0.970661
45.5385,0.109875,0.970428
46,0.111433,0.968871
46.4615,0.112503,0.967813
46.8966,0.113521,0.966814
46.9231,0.113584,0.966753
47.3846,0.11432,0.966036
47.8462,0.114988,0.965389
48.3077,0.115517,0.964879
48.3686,0.115577,0.964821
48.7692,0.115975,0.964438
49.2308,0.116395,0.964036
49.6923,0.116776,0.963673
49.8869,0.116937,0.96352
50.1538,0.117085,0.963379
50.6154,0.117251,0.963222
51.0769,0.117415,0.963066
51.4528,0.117548,0.96294
51.5385,0.117578,0.962911
52,0.117741,0.962757
53.0679,0.118113,0.962406
54.7337,0.118684,0.961869
56.4518,0.119261,0.961329
58.2238,0.119844,0.960785
60.0514,0.120434,0.960238
61.9364,0.12103,0.959687
63.8806,0.121634,0.959133
65.8858,0.122244,0.958575
67.954,0.122861,0.958013
70.087,0.123486,0.957447
72.287,0.124119,0.956878
74.5561,0.124759,0.956305
76.8964,0.125407,0.955727
79.3102,0.126064,0.955146
81.7997,0.126728,0.95456
84.3674,0.127402,0.95397
87.0156,0.128085,0.953375
89.747,0.128776,0.952777
92.5642,0.129478,0.952173
95.4697,0.130189,0.951565
98.4665,0.13091,0.950952
101.557,0.131575,0.95039
104.745,0.132182,0.949881
108.033,0.132796,0.949368
111.424,0.133417,0.948852
114.922,0.134047,0.948332
118.529,0.134684,0.947809
122.25,0.13533,0.947282
126.087,0.135985,0.946751
130.045,0.136648,0.946216
134.127,0.137321,0.945678
138.337,0.138002,0.945135
142.68,0.138694,0.944589
147.158,0.139396,0.944038
151.778,0.140108,0.943483
156.542,0.140831,0.942923
161.456,0.141565,0.94236
166.524,0.14231,0.941791
171.751,0.143068,0.941218
177.142,0.143837,0.94064
182.703,0.14462,0.940058
188.438,0.145416,0.93947
194.353,0.146226,0.938878
200.453,0.147055,0.938277
206.746,0.147951,0.937633
213.235,0.148865,0.936983
219.929,0.149798,0.936327
226.832,0.15075,0.935664
233.952,0.151724,0.934994
241.296,0.152719,0.934317
248.87,0.153737,0.933633
256.682,0.154779,0.932942
264.74,0.155847,0.932243
273.05,0.156941,0.931536
281.621,0.158064,0.930821
290.461,0.159218,0.930098
299.578,0.160404,0.929366
308.982,0.161757,0.928545
318.681,0.163162,0.927709
328.684,0.164617,0.92686
339.001,0.166125,0.926
349.642,0.167692,0.925127
360.618,0.169322,0.92424
371.937,0.171023,0.923339
383.612,0.1728,0.922423
395.654,0.174663,0.921493
408.073,0.176621,0.920546
420.883,0.178685,0.919582
434.094,0.18087,0.918601
447.72,0.183192,0.917601
461.774,0.18567,0.916582
476.269,0.188331,0.915542
491.219,0.191204,0.914481
506.638,0.194508,0.913337
522.542,0.198419,0.912084
538.944,0.202822,0.910798
555.861,0.207856,0.909477
573.31,0.213722,0.908118
591.306,0.220708,0.906717
609.867,0.229217,0.905271
629.01,0.239752,0.903776
648.755,0.252753,0.902228
669.119,0.268269,0.900622
690.122,0.285883,0.89895
711.785,0.306722,0.897065
734.128,0.330689,0.894958
757.172,0.356556,0.892728
780.94,0.384448,0.890354
805.453,0.414522,0.887811
830.736,0.446949,0.885063
856.813,0.481912,0.882064
883.708,0.519611,0.878746
911.447,0.560259,0.87501
940.057,0.604086,0.870693
969.566,0.651342,0.865506
1000,0.702294,0.85884
