# mass_GeV,Qmin
10,0.0976668
10.3139,0.0977225
10.6376,0.0977784
10.9716,0.0978342
11.316,0.0978902
11.6712,0.0979461
12.0375,0.0980022
12.4154,0.0980583
12.8051,0.0981144
13.207,0.0981706
13.6216,0.0982269
14.0492,0.0982832
14.4902,0.0983396
14.945,0.0983961
15.4141,0.0984526
15.898,0.0985091
16.397,0.0985657
16.9117,0.0986224
17.4426,0.0986791
17.9901,0.0987359
18.5548,0.0987927
19.1372,0.0988496
19.7379,0.0989066
20.3575,0.0989789
20.9965,0.0990628
21.6556,0.0991468
22.3354,0.099231
23.0365,0.0993153
23.7596,0.0993997
24.5054,0.0994842
25.2746,0.0995688
26.068,0.0996536
26.8862,0.0997385
27.7302,0.0998236
28.6006,0.0999087
29.4984,0.099994
30.4244,0.100128
31.3794,0.100319
32.3644,0.100512
33.3803,0.100705
34,0.10082
34.4281,0.100899
34.4615,0.100905
34.9231,0.100988
35.3846,0.101105
35.5088,0.101138
35.8462,0.101227
36.3077,0.101371
36.6234,0.101476
36.7692,0.101525
37.2308,0.101667
37.6923,0.101798
37.773,0.101821
38.1538,0.101947
38.6154,0.102132
38.9587,0.102269
39.0769,0.102316
39.5385,0.102505
40,0.102691
40.1816,0.10279
40.4615,0.102942
40.9231,0.103191
41.3846,0.103504
41.4429,0.103545
41.8462,0.103828
42.3077,0.104201
42.7437,0.104574
42.7692,0.104596
43.2308,0.105079
43.6923,0.105651
44.0855,0.106206
44.1538,0.106347
44.6154,0.107296
45.0769,0.108344
45.4693,0.109644
45.5385,0.109875
46,0.111433
46.4615,0.112503
46.8966,0.113521
46.9231,0.113584
47.3846,0.11432
47.8462,0.114988
48.3077,0.115517
48.3686,0.115577
48.7692,0.115975
49.2308,0.116395
49.6923,0.116776
49.8869,0.116937
50.1538,0.117085
50.6154,0.117251
51.0769,0.117415
51.4528,0.117548
51.5385,0.117578
52,0.117741
53.0679,0.118113
54.7337,0.118684
56.4518,0.119261
58.2238,0.119844
60.0514,0.120434
61.9364,0.12103
63.8806,0.121634
65.8858,0.122244
67.954,0.122861
70.087,0.123486
72.287,0.124119
74.5561,0.124759
76.8964,0.125407
79.3102,0.126064
81.7997,0.126728
84.3674,0.127402
87.0156,0.128085
89.747,0.128776
92.5642,0.129478
95.4697,0.130189
98.4665,0.13091
101.557,0.131575
104.745,0.132182
108.033,0.132796
111.424,0.133417
114.922,0.134047
118.529,0.134684
122.25,0.13533
126.087,0.135985
130.045,0.136648
134.127,0.137321
138.337,0.138002
142.68,0.138694
147.158,0.139396
151.778,0.140108
156.542,0.140831
161.456,0.141565
166.524,0.14231
171.751,0.143068
177.142,0.143837
182.703,0.14462
188.438,0.145416
194.353,0.146226
200.453,0.147055
206.746,0.147951
213.235,0.148865
219.929,0.149798
226.832,0.15075
233.952,0.151724
241.296,0.152719
248.87,0.153737
256.682,0.154779
264.74,0.155847
273.05,0.156941
281.621,0.158064
290.461,0.159218
299.578,0.160404
308.982,0.161757
318.681,0.163162
328.684,0.164617
339.001,0.166125
349.642,0.167692
360.618,0.169322
371.937,0.171023
383.612,0.1728
395.654,0.174663
408.073,0.176621
420.883,0.178685
434.094,0.18087
447.72,0.183192
461.774,0.18567
476.269,0.188331
491.219,0.191204
506.638,0.194508
522.542,0.198419
538.944,0.202822
555.861,0.207856
573.31,0.213722
591.306,0.220708
609.867,0.229217
629.01,0.239752
648.755,0.252753
669.119,0.268269
690.122,0.285883
711.785,0.306722
734.128,0.330689
757.172,0.356556
780.94,0.384448
805.453,0.414522
830.736,0.446949
856.813,0.481912
883.708,0.519611
911.447,0.560259
940.057,0.604086
969.566,0.651342
1000,0.702294
