m_GeV,sigma_eps1_fb,sigma_err_fb,int_A_f_deta,R,R_err,frac_eta_lt_1p2,bg_p02,bg_p16,bg_med,bg_p84,bg_p98,beta_med,f_bg_lt1,f_bg_lt2,f_bg_lt3,dt_per10m_med_ns,dt_per10m_p98_ns
10,8.0773e+05,712,0.00388,0.1535,0.0008,0.1744,0.2917,0.6501,1.27,2.533,5.934,0.7856,0.3605,0.7482,0.8909,9.103,85.749
20,1.3071e+05,115,0.00422,0.1672,0.0008,0.1906,0.2648,0.6065,1.17,2.297,5.272,0.7601,0.4028,0.7888,0.9133,10.528,96.967
30,41903,36.6,0.00440,0.1743,0.0008,0.2011,0.2596,0.5884,1.128,2.168,4.913,0.7481,0.4238,0.8081,0.9241,11.229,99.385
35,26851,23.4,0.00460,0.1823,0.0008,0.2086,0.2547,0.5805,1.109,2.126,4.766,0.7426,0.4352,0.8178,0.9306,11.560,101.812
36,24731,21.6,0.00463,0.1833,0.0008,0.2103,0.255,0.5806,1.104,2.114,4.699,0.7412,0.4369,0.8208,0.9291,11.646,101.657
37,22824,19.9,0.00460,0.1820,0.0008,0.2103,0.2569,0.5729,1.095,2.127,4.725,0.7386,0.4422,0.8171,0.9299,11.808,100.704
38,21093,18.4,0.00465,0.1842,0.0008,0.2119,0.2576,0.5733,1.096,2.113,4.636,0.7387,0.4439,0.8195,0.9322,11.799,100.371
39,19532,17.1,0.00468,0.1854,0.0008,0.2118,0.2493,0.5727,1.09,2.108,4.688,0.7370,0.4460,0.8218,0.9313,11.903,104.564
40,18140,15.9,0.00468,0.1853,0.0008,0.2132,0.2564,0.5714,1.097,2.107,4.717,0.7391,0.4430,0.8216,0.9308,11.776,100.928
41,16848,14.7,0.00467,0.1849,0.0008,0.2138,0.2576,0.5689,1.089,2.071,4.578,0.7367,0.4452,0.8259,0.9366,11.923,100.362
42,15683,13.7,0.00474,0.1876,0.0009,0.2151,0.2549,0.5685,1.089,2.095,4.603,0.7365,0.4480,0.8223,0.9332,11.937,101.697
43,14634,12.8,0.00471,0.1866,0.0009,0.2155,0.2538,0.5693,1.088,2.1,4.618,0.7364,0.4486,0.8217,0.9326,11.940,102.245
44,13670,11.9,0.00471,0.1866,0.0008,0.2166,0.256,0.571,1.09,2.087,4.551,0.7367,0.4441,0.8238,0.9336,11.919,101.153
45,12758,11.2,0.00484,0.1916,0.0009,0.2183,0.2594,0.5703,1.089,2.078,4.528,0.7367,0.4453,0.8250,0.9349,11.923,99.486
46,11954,10.4,0.00482,0.1908,0.0009,0.2194,0.2514,0.5698,1.079,2.062,4.477,0.7336,0.4528,0.8287,0.9368,12.114,103.478
47,11193,9.78,0.00484,0.1918,0.0009,0.2199,0.2565,0.568,1.087,2.068,4.564,0.7359,0.4485,0.8277,0.9348,11.974,100.876
48,10532,9.21,0.00479,0.1897,0.0009,0.2196,0.2549,0.5703,1.086,2.077,4.459,0.7355,0.4497,0.8268,0.9349,11.995,101.701
49,9906.2,8.66,0.00487,0.1929,0.0009,0.2224,0.2528,0.5612,1.073,2.064,4.465,0.7315,0.4559,0.8292,0.9366,12.247,102.765
50,9301.2,8.14,0.00489,0.1936,0.0009,0.2232,0.2551,0.5673,1.08,2.032,4.471,0.7339,0.4507,0.8344,0.9390,12.094,101.611
100,1056.8,0.931,0.00575,0.2277,0.0009,0.2639,0.2442,0.537,1.015,1.896,3.868,0.7125,0.4902,0.8600,0.9542,13.461,107.240
200,98.828,0.0885,0.00717,0.2839,0.0011,0.3242,0.231,0.5095,0.9484,1.701,3.218,0.6881,0.5354,0.8978,0.9737,15.118,114.866
300,21.75,0.0198,0.00822,0.3254,0.0011,0.3712,0.2167,0.4843,0.8957,1.565,2.862,0.6672,0.5767,0.9244,0.9839,16.639,124.149
500,2.6328,0.00244,0.01002,0.3967,0.0012,0.4420,0.205,0.4526,0.8215,1.386,2.345,0.6348,0.6415,0.9587,0.9946,19.192,132.778
700,0.54968,0.000512,0.01141,0.4518,0.0013,0.4969,0.1959,0.4275,0.7632,1.264,2.064,0.6067,0.6976,0.9763,0.9983,21.626,140.182
1000,0.083499,7.63e-05,0.01329,0.5262,0.0014,0.5580,0.1808,0.3936,0.694,1.116,1.754,0.5702,0.7732,0.9918,0.9998,25.148,154.151
