m_GeV,sigma_eps1_fb,sigma_err_fb,int_A_f_deta,R,R_err,frac_eta_lt_1p2,bg_p02,bg_p16,bg_med,bg_p84,bg_p98,beta_med,f_bg_lt1,f_bg_lt2,f_bg_lt3,dt_per10m_med_ns,dt_per10m_p98_ns
10,2.2269e+06,2.01e+03,0.00558,0.2340,0.0010,0.2562,0.4646,1.31,3.335,4.805,7.747,0.9579,0.1051,0.2726,0.4370,1.467,45.810
20,1.4754e+06,1.4e+03,0.00574,0.2408,0.0010,0.2678,0.4811,1.114,1.815,2.393,4.163,0.8759,0.1237,0.6251,0.9383,4.726,43.589
30,1.2561e+06,1.23e+03,0.00487,0.2044,0.0009,0.2325,0.3523,0.7227,1.084,1.453,2.691,0.7350,0.3998,0.9478,0.9858,12.029,67.038
35,1.1027e+06,1.03e+03,0.00421,0.1766,0.0008,0.2045,0.2742,0.5584,0.8241,1.169,2.314,0.6360,0.7330,0.9683,0.9913,19.093,92.778
36,1.0604e+06,974,0.00404,0.1693,0.0008,0.1990,0.2648,0.5261,0.7763,1.117,2.257,0.6132,0.7725,0.9714,0.9922,21.039,96.935
37,1.0175e+06,925,0.00385,0.1613,0.0008,0.1903,0.2443,0.4927,0.7265,1.065,2.166,0.5878,0.8074,0.9739,0.9927,23.395,107.172
38,9.6998e+05,873,0.00372,0.1559,0.0008,0.1837,0.2303,0.4549,0.6805,1.027,2.158,0.5626,0.8284,0.9750,0.9934,25.936,115.255
39,9.1372e+05,817,0.00353,0.1480,0.0008,0.1753,0.2104,0.4258,0.6351,0.9895,2.109,0.5361,0.8445,0.9766,0.9930,28.861,128.638
40,8.5057e+05,756,0.00337,0.1412,0.0008,0.1670,0.1937,0.3934,0.5902,0.9469,2.081,0.5083,0.8600,0.9777,0.9941,32.267,142.030
41,7.7691e+05,687,0.00317,0.1328,0.0007,0.1580,0.1805,0.3613,0.5444,0.9174,2.002,0.4781,0.8699,0.9799,0.9941,36.409,154.417
42,6.9272e+05,612,0.00292,0.1224,0.0007,0.1477,0.164,0.3234,0.5028,0.8881,1.985,0.4492,0.8772,0.9806,0.9947,40.897,172.800
43,5.8827e+05,521,0.00272,0.1140,0.0007,0.1379,0.1386,0.2874,0.4701,0.8956,2.03,0.4254,0.8751,0.9791,0.9929,45.050,209.583
44,4.6019e+05,399,0.00254,0.1066,0.0007,0.1274,0.1206,0.2478,0.4441,0.898,2.057,0.4059,0.8708,0.9785,0.9941,48.826,245.345
45,2.8604e+05,237,0.00236,0.0989,0.0006,0.1200,0.1025,0.2234,0.4458,0.9501,2.247,0.4072,0.8546,0.9726,0.9916,48.564,293.640
46,1.1134e+05,90.1,0.00267,0.1119,0.0007,0.1336,0.1103,0.2548,0.531,1.121,2.684,0.4690,0.8004,0.9552,0.9850,37.773,270.781
47,55607,44.7,0.00308,0.1293,0.0007,0.1538,0.1307,0.3034,0.6222,1.309,3.1,0.5283,0.7378,0.9377,0.9782,29.786,223.970
48,36724,29.6,0.00339,0.1422,0.0008,0.1680,0.1499,0.3423,0.6997,1.429,3.237,0.5733,0.6930,0.9264,0.9750,24.830,191.650
49,27541,22.3,0.00363,0.1523,0.0008,0.1780,0.1607,0.3694,0.7405,1.515,3.406,0.5951,0.6648,0.9145,0.9713,22.694,176.911
50,22007,18,0.00376,0.1577,0.0008,0.1856,0.1717,0.3945,0.7896,1.59,3.539,0.6197,0.6357,0.9034,0.9664,20.470,163.746
100,1039,0.891,0.00541,0.2271,0.0010,0.2626,0.2396,0.5279,0.9986,1.859,3.857,0.7066,0.5009,0.8654,0.9561,13.849,109.801
200,92.205,0.0807,0.00676,0.2834,0.0011,0.3255,0.2285,0.5105,0.9423,1.694,3.242,0.6858,0.5387,0.8983,0.9731,15.281,116.393
300,20.153,0.0179,0.00780,0.3270,0.0011,0.3728,0.2206,0.4838,0.8903,1.56,2.836,0.6649,0.5783,0.9244,0.9839,16.809,121.500
500,2.4328,0.00221,0.00948,0.3977,0.0013,0.4440,0.2074,0.4525,0.8208,1.389,2.355,0.6345,0.6418,0.9574,0.9944,19.218,130.899
700,0.50569,0.000463,0.01089,0.4568,0.0014,0.4986,0.1916,0.4259,0.7632,1.264,2.075,0.6067,0.6990,0.9754,0.9984,21.625,143.892
1000,0.076851,6.94e-05,0.01254,0.5262,0.0015,0.5604,0.1808,0.3925,0.6961,1.12,1.752,0.5713,0.7719,0.9917,0.9998,25.031,154.142
